date,ticker,foreign_net_buy_value,foreign_buy_value,foreign_sell_value
2026-05-13,007690,-272722350.0,203347950.0,476070300.0
2026-05-13,007700,-64018650.0,103349310.0,167367960.0
2026-05-13,007720,-7558993.0,11881885.0,19440878.0
2026-05-13,007770,1391500.0,3736040.0,2344540.0
2026-05-13,007810,-66255200.0,7347186650.0,7413441850.0
2026-05-13,007815,113950.0,113950.0,0.0
2026-05-13,007820,-580044555.0,817119080.0,1397163635.0
2026-05-13,007860,219892805.0,391356840.0,171464035.0
2026-05-13,007980,-323962028.0,99246236.0,423208264.0
2026-05-13,008040,-32189456.0,129905565.0,162095021.0
2026-05-13,008060,-594874345.0,1436718890.0,2031593235.0
2026-05-13,00806K,-4391860.0,88973640.0,93365500.0
2026-05-13,008250,-22601360.0,14634200.0,37235560.0
2026-05-13,008260,-99413185.0,123662625.0,223075810.0
2026-05-13,008290,-10051062.0,8181085.0,18232147.0
2026-05-13,0082N0,69093000.0,1252117250.0,1183024250.0
2026-05-13,008350,-1656828216.0,7868132016.0,9524960232.0
2026-05-13,008370,2151340.0,2320710.0,169370.0
2026-05-13,008420,-197385564.0,328184013.0,525569577.0
2026-05-13,008470,292830.0,739035.0,446205.0
2026-05-13,008490,-128389605.0,93455530.0,221845135.0
2026-05-13,008500,7125410.0,28385420.0,21260010.0
2026-05-13,008700,-66291537.0,159828387.0,226119924.0
2026-05-13,008730,-173923350.0,301199600.0,475122950.0
2026-05-13,008770,1832480600.0,15135712300.0,13303231700.0
2026-05-13,008775,-17826800.0,5811400.0,23638200.0
2026-05-13,008830,749291055.0,1751515420.0,1002224365.0
2026-05-13,008870,-3269375.0,9522450.0,12791825.0
2026-05-13,0088D0,-2119910.0,246905.0,2366815.0
2026-05-13,0088M0,-871459550.0,815509500.0,1686969050.0
2026-05-13,008930,-1329614150.0,594912575.0,1924526725.0
2026-05-13,008970,-234160933.0,522877790.0,757038723.0
2026-05-13,009070,-77505850.0,294780000.0,372285850.0
2026-05-13,009140,-109919725.0,355849450.0,465769175.0
2026-05-13,009150,90065838000.0,390360931000.0,300295093000.0
2026-05-13,009155,7762043250.0,14162519000.0,6400475750.0
2026-05-13,009160,-18871745.0,507917590.0,526789335.0
2026-05-13,009180,-56075977.0,212161730.0,268237707.0
2026-05-13,009190,-82530616.0,97940684.0,180471300.0
2026-05-13,0091W0,-528970.0,0.0,528970.0
2026-05-13,009200,-193386939.0,159163248.0,352550187.0
2026-05-13,009240,107845725.0,1152667100.0,1044821375.0
2026-05-13,009270,-200677374.0,118358976.0,319036350.0
2026-05-13,009290,-188561320.0,572968820.0,761530140.0
2026-05-13,009300,-12320470.0,4668940.0,16989410.0
2026-05-13,009320,4605319.0,138839003.0,134233684.0
2026-05-13,0093G0,127710.0,127710.0,0.0
2026-05-13,009410,-167426159.0,153107704.0,320533863.0
2026-05-13,009420,-1223407850.0,3059815125.0,4283222975.0
2026-05-13,009450,2905769500.0,4636091950.0,1730322450.0
2026-05-13,009470,2632586675.0,4303466425.0,1670879750.0
2026-05-13,009520,-267708980.0,1302745640.0,1570454620.0
2026-05-13,009540,6060203750.0,49135128000.0,43074924250.0
2026-05-13,009580,10902475.0,348408405.0,337505930.0
2026-05-13,009620,40221104.0,62728251.0,22507147.0
2026-05-13,009680,42614580.0,93831470.0,51216890.0
2026-05-13,0096B0,0.0,0.0,0.0
2026-05-13,0096D0,2000.0,2000.0,0.0
2026-05-13,009730,8191512.0,34346167.0,26154655.0
2026-05-13,009770,-6980450.0,2805800.0,9786250.0
2026-05-13,009780,10739950.0,26212550.0,15472600.0
2026-05-13,0097F0,55706.0,55706.0,0.0
2026-05-13,009830,-8360296775.0,20531880900.0,28892177675.0
2026-05-13,009835,-15085600.0,152163600.0,167249200.0
2026-05-13,0098T0,-81200.0,0.0,81200.0
2026-05-13,009900,-272116530.0,1910870480.0,2182987010.0
2026-05-13,009970,-1277488800.0,1722856500.0,3000345300.0
2026-05-13,0099W0,523764.0,543744.0,19980.0
2026-05-13,0099X0,1192310.0,1291950.0,99640.0
2026-05-13,010040,-18865879.0,14005921.0,32871800.0
2026-05-13,010060,-991193750.0,33627154250.0,34618348000.0
2026-05-13,010100,300320025.0,6053862500.0,5753542475.0
2026-05-13,010120,-790344500.0,114655064000.0,115445408500.0
2026-05-13,010130,-1278680000.0,12119565000.0,13398245000.0
2026-05-13,010140,-44454762950.0,74667157175.0,119121920125.0
2026-05-13,010170,-112116709050.0,35850126775.0,147966835825.0
2026-05-13,0101C0,-411148.0,320754.0,731902.0
2026-05-13,010240,4435165.0,22664460.0,18229295.0
2026-05-13,010280,-91790060.0,146154970.0,237945030.0
2026-05-13,010400,584905.0,7651755.0,7066850.0
2026-05-13,010470,-35347750.0,6140340.0,41488090.0
2026-05-13,010580,19126380.0,71103740.0,51977360.0
2026-05-13,0105P0,0.0,0.0,0.0
2026-05-13,010640,-23548307.0,25750905.0,49299212.0
2026-05-13,010660,-117725153.0,168947418.0,286672571.0
2026-05-13,010690,-194902670.0,5088935605.0,5283838275.0
2026-05-13,010770,24348971.0,128598710.0,104249739.0
2026-05-13,010780,-404566000.0,5023700975.0,5428266975.0
2026-05-13,010820,2194840225.0,6623737215.0,4428896990.0
2026-05-13,010950,5577346250.0,34107738250.0,28530392000.0
2026-05-13,010955,-166389800.0,896604600.0,1062994400.0
2026-05-13,010960,30619105.0,97106395.0,66487290.0
2026-05-13,011000,-973730262.0,1855643605.0,2829373867.0
2026-05-13,011040,-48485750.0,1615190.0,50100940.0
2026-05-13,011070,-94998700500.0,112636433000.0,207635133500.0
2026-05-13,011080,-87027726.0,349270225.0,436297951.0
2026-05-13,011150,-211963951.0,34910641.0,246874592.0
2026-05-13,011170,3601488650.0,7146746450.0,3545257800.0
2026-05-13,011200,-1705348490.0,8745908480.0,10451256970.0
2026-05-13,011210,-7450564050.0,24470496200.0,31921060250.0
2026-05-13,011230,29008410.0,69988465.0,40980055.0
2026-05-13,011280,-71046223.0,74022789.0,145069012.0
2026-05-13,011300,8211276.0,50905150.0,42693874.0
2026-05-13,011320,126052384.0,1076634725.0,950582341.0
2026-05-13,011330,-8223860.0,77036753.0,85260613.0
2026-05-13,011370,-105490569.0,38282890.0,143773459.0
2026-05-13,011390,38921300.0,163574800.0,124653500.0
