date,kospi_close,trading_value,v_kospi200_close
2022-02-23,2719.53,9137197614754.0,24.07
2022-02-24,2648.8,13582260344905.0,27.09
2022-02-25,2676.76,12218907066070.0,23.84
2022-02-28,2699.18,12892089490618.0,24.41
2022-03-02,2703.52,10995546648430.0,24.89
2022-03-03,2747.08,10591314862724.0,22.73
2022-03-04,2713.43,12425084284979.0,24.57
2022-03-07,2651.31,12087114605286.0,27.84
2022-03-08,2622.4,11677270350731.0,28.95
2022-03-10,2680.32,13692644837398.0,25.71
2022-03-11,2661.28,12358631976974.0,24.41
2022-03-14,2645.65,12034342468296.0,24.7
2022-03-15,2621.53,9580102415198.0,25.77
2022-03-16,2659.23,9308442554657.0,23.74
2022-03-17,2694.51,11897707401018.0,22.55
2022-03-18,2707.02,11439801456547.0,21.93
2022-03-21,2686.05,8691675165567.0,22.4
2022-03-22,2710.0,9365583291149.0,21.03
2022-03-23,2735.05,11836486374015.0,19.61
2022-03-24,2729.66,13157117817583.0,19.73
2022-03-25,2729.98,10768724559482.0,19.62
2022-03-28,2729.56,9793511062313.0,19.6
