ticker,name,strategy,entry_signal_date,entry_execution_date,entry_open,exit_date,exit_type,return,mfe,mae
011210,011210,BASELINE_V2,2025-09-05,2025-09-08,52200.0,2026-05-04,EXIT4_SCORE_DRAWDOWN_GE_15,60.92,115.71,-10.06
011760,011760,BASELINE_V2,2026-02-13,2026-02-19,26350.0,2026-06-26,LOSS_GUARD_CLOSE_LE_NEG_15,-15.37,24.67,-16.51
011780,011780,BASELINE_V2,2026-01-16,2026-01-19,139700.0,2026-03-10,LOSS_GUARD_CLOSE_LE_NEG_15,-14.75,16.18,-21.26
013120,013120,BASELINE_V2,2026-02-20,2026-02-23,3380.0,2026-03-05,LOSS_GUARD_CLOSE_LE_NEG_15,-13.76,4.59,-17.01
014440,014440,BASELINE_V2,2025-12-05,2025-12-08,4990.0,,NO_PROGRESSED_BEFORE_CUTOFF,-6.41,8.42,-14.63
014830,014830,BASELINE_V2,2026-04-24,2026-04-27,93800.0,2026-05-14,LOSS_GUARD_CLOSE_LE_NEG_15,-15.03,4.69,-16.52
014940,014940,BASELINE_V2,2025-01-10,2025-01-13,5620.0,2025-06-02,EXIT4_SCORE_DRAWDOWN_GE_15,11.21,24.2,-25.27
017960,017960,BASELINE_V2,2025-01-17,2025-01-20,13440.0,2025-09-01,EXIT4_SCORE_DRAWDOWN_GE_15,149.63,149.63,-2.83
018260,018260,BASELINE_V2,2025-06-20,2025-06-23,171000.0,,NO_EXIT_BEFORE_CUTOFF,42.4,127.19,-15.96
018310,018310,BASELINE_V2,2025-06-13,2025-06-16,22300.0,2025-09-02,LOSS_GUARD_CLOSE_LE_NEG_15,-15.25,5.83,-16.01
023530,023530,BASELINE_V2,2022-08-12,2022-08-16,103000.0,2022-09-27,LOSS_GUARD_CLOSE_LE_NEG_15,-15.44,0.0,-17.28
023530,023530,BASELINE_V2,2025-05-16,2025-05-19,73900.0,2026-06-01,EXIT4_SCORE_DRAWDOWN_GE_15,92.96,140.87,-15.16
026150,026150,BASELINE_V2,2026-02-06,2026-02-09,7450.0,2026-03-05,LOSS_GUARD_CLOSE_LE_NEG_15,-15.44,2.82,-19.73
028050,028050,BASELINE_V2,2025-07-04,2025-07-07,23950.0,2026-06-01,EXIT4_SCORE_DRAWDOWN_GE_15,111.69,181.0,-3.34
028100,028100,BASELINE_V2,2025-12-19,2025-12-22,17190.0,2026-06-01,LOSS_GUARD_CLOSE_LE_NEG_15,-15.01,11.93,-15.59
028260,028260,BASELINE_V2,2023-12-01,2023-12-04,119500.0,2026-02-02,EXIT4_SCORE_DRAWDOWN_GE_15,151.46,160.25,-9.54
030530,030530,BASELINE_V2,2025-05-23,2025-05-26,5110.0,2025-09-01,EXIT4_SCORE_DRAWDOWN_GE_15,79.26,79.26,0.0
030610,030610,BASELINE_V2,2025-04-25,2025-04-28,6350.0,2026-02-02,EXIT4_SCORE_DRAWDOWN_GE_15,86.14,91.34,-0.63
031980,031980,BASELINE_V2,2026-01-16,2026-01-19,57100.0,2026-06-01,EXIT4_SCORE_DRAWDOWN_GE_15,87.39,144.13,-4.03
032830,032830,BASELINE_V2,2022-12-09,2022-12-12,73900.0,2023-03-27,LOSS_GUARD_CLOSE_LE_NEG_15,-15.16,1.08,-15.83
032830,032830,BASELINE_V2,2023-12-01,2023-12-04,69900.0,2026-02-02,EXIT4_SCORE_DRAWDOWN_GE_15,168.96,186.12,-14.16
033240,033240,BASELINE_V2,2026-01-02,2026-01-05,27100.0,2026-01-16,LOSS_GUARD_CLOSE_LE_NEG_15,-15.5,4.8,-17.34
033500,033500,BASELINE_V2,2025-01-10,2025-01-13,16550.0,2025-07-01,EXIT4_SCORE_DRAWDOWN_GE_15,59.52,73.72,-6.34
034730,034730,BASELINE_V2,2025-06-13,2025-06-16,190100.0,2026-02-02,EXIT4_SCORE_DRAWDOWN_GE_15,70.96,78.59,-6.94
035420,035420,BASELINE_V2,2025-06-27,2025-06-30,257000.0,2025-08-28,LOSS_GUARD_CLOSE_LE_NEG_15,-15.37,4.67,-15.76
