variant,checkpoint,checkpoint_index,recovery_class,metric,count,mean,median,p25,p75
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,unavailable_observation_count,117,0.0,0.0,0.0,0.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,weak_share_usable,117,1.0,1.0,1.0,1.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,consecutive_weak_streak,117,3.0,3.0,3.0,3.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,arm_to_checkpoint_close_delta_pp,179,1.158601,1.060445,-2.813065,4.527369
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,post_arm_additional_close_deterioration_pp,179,3.025977,2.313625,0.0,4.98027
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,post_arm_running_min_close_return_pct,179,-34.017768,-33.421053,-35.752813,-30.948372
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,post_arm_additional_low_deterioration_pp,179,3.898905,2.972973,0.808685,6.001945
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,weak_observation_count,179,2.988827,3.0,3.0,3.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,strong_observation_count,179,0.011173,0.0,0.0,0.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,unavailable_observation_count,179,0.0,0.0,0.0,0.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,weak_share_usable,179,0.996276,1.0,1.0,1.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,consecutive_weak_streak,179,2.98324,3.0,3.0,3.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,arm_to_checkpoint_close_delta_pp,117,1.357437,1.119438,-3.977074,5.163798
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,post_arm_additional_close_deterioration_pp,117,3.850584,2.456141,0.0,6.674613
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,post_arm_running_min_close_return_pct,117,-34.827467,-34.117647,-38.068812,-31.306306
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,post_arm_additional_low_deterioration_pp,117,4.700518,3.556582,1.259446,7.38975
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,weak_observation_count,117,3.991453,4.0,4.0,4.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,strong_observation_count,117,0.008547,0.0,0.0,0.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,unavailable_observation_count,117,0.0,0.0,0.0,0.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,weak_share_usable,117,0.997863,1.0,1.0,1.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,consecutive_weak_streak,117,3.965812,4.0,4.0,4.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,arm_to_checkpoint_close_delta_pp,175,0.522787,0.785613,-3.325245,4.392755
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,post_arm_additional_close_deterioration_pp,175,3.915886,2.877698,0.289079,6.200783
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,post_arm_running_min_close_return_pct,175,-34.967208,-34.2711,-37.411367,-31.310213
