strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price,hwm_price
V3,069500,2024-05-17,2024-05-20,37480.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,157.78,306.76,-17.72,534,148.98,22,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2024-05-24,2024-05-27,36785.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,162.65,314.45,-16.16,529,151.8,23,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2024-05-31,2024-06-03,36265.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,166.41,320.39,-14.96,524,153.98,24,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2024-06-07,2024-06-10,36805.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,162.51,314.22,-16.21,520,151.71,25,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2024-06-14,2024-06-17,37470.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,157.85,306.87,-17.69,515,149.02,26,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2024-06-21,2024-06-24,37950.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,154.58,301.73,-18.74,510,147.15,27,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2024-08-02,2024-08-05,35660.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,170.93,327.52,-13.52,480,156.59,28,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2024-08-16,2024-08-19,37000.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,161.12,312.04,-16.65,471,150.92,29,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2024-08-23,2024-08-26,37025.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,160.95,311.76,-16.7,466,150.81,30,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2024-08-30,2024-09-02,36300.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,166.16,319.99,-15.04,461,153.83,31,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2025-05-30,2025-06-02,36040.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,168.08,323.02,-0.25,283,154.94,32,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2025-06-13,2025-06-16,39000.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,147.73,290.91,-0.65,275,143.18,33,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2025-06-20,2025-06-23,40260.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,139.98,278.68,-0.93,270,138.7,34,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2025-06-27,2025-06-30,41690.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,131.75,265.69,-1.4,265,133.94,35,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V4,069500,2017-01-06,2017-01-09,26700.0,2018-07-06,2018-07-09,29460.0,WINNER_SOFT_WATCH_EXIT,REALIZED,10.34,28.43,-0.24,365,18.09,1,PATTERN_A_FAST_FINAL_STRATEGY_V04,2018-07-09,29460.0,34290.0
V4,069500,2017-01-13,2017-01-16,27160.0,2018-07-06,2018-07-09,29460.0,WINNER_SOFT_WATCH_EXIT,REALIZED,8.47,26.25,-0.92,360,17.78,2,PATTERN_A_FAST_FINAL_STRATEGY_V04,2018-07-09,29460.0,34290.0
V4,069500,2017-01-20,2017-01-23,27055.0,2018-07-06,2018-07-09,29460.0,WINNER_SOFT_WATCH_EXIT,REALIZED,8.89,26.74,-0.54,355,17.85,3,PATTERN_A_FAST_FINAL_STRATEGY_V04,2018-07-09,29460.0,34290.0
V4,069500,2017-09-01,2017-09-04,30340.0,2020-03-20,2020-03-23,20230.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-33.32,13.02,-34.26,623,46.34,4,PATTERN_A_FAST_FINAL_STRATEGY_V04,2020-03-23,20230.0,34290.0
V4,069500,2017-09-08,2017-09-11,30910.0,2018-12-26,2018-12-27,26500.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-14.27,10.93,-16.0,315,25.2,5,PATTERN_A_FAST_FINAL_STRATEGY_V04,2018-12-27,26500.0,34290.0
V4,069500,2017-09-15,2017-09-18,31415.0,2018-12-21,2018-12-24,26435.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-15.85,9.15,-17.35,308,25.0,6,PATTERN_A_FAST_FINAL_STRATEGY_V04,2018-12-24,26435.0,34290.0
V4,069500,2017-09-22,2017-09-25,31710.0,2018-12-21,2018-12-24,26435.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-16.64,8.14,-18.12,303,24.78,7,PATTERN_A_FAST_FINAL_STRATEGY_V04,2018-12-24,26435.0,34290.0
V4,069500,2019-11-15,2019-11-18,28745.0,2020-03-20,2020-03-23,20230.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-29.62,8.31,-30.61,86,37.93,8,PATTERN_A_FAST_FINAL_STRATEGY_V04,2020-03-23,20230.0,31135.0
V4,069500,2019-11-22,2019-11-25,28135.0,2020-03-20,2020-03-23,20230.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-28.1,10.66,-29.11,81,38.76,9,PATTERN_A_FAST_FINAL_STRATEGY_V04,2020-03-23,20230.0,31135.0
V4,069500,2020-01-10,2020-01-13,30075.0,2020-03-20,2020-03-23,20230.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-32.73,3.52,-33.68,49,36.25,10,PATTERN_A_FAST_FINAL_STRATEGY_V04,2020-03-23,20230.0,31135.0
V4,069500,2020-01-17,2020-01-20,30865.0,2020-03-20,2020-03-23,20230.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-34.46,0.87,-35.38,44,35.33,11,PATTERN_A_FAST_FINAL_STRATEGY_V04,2020-03-23,20230.0,31135.0
