ticker,close,market_cap,volume,trading_value,shares_outstanding,effective_date
033500,21250,637276747500,688295,14542712100,29989494,2025-01-31
383310,30350,636589186200,60200,1840752650,20974932,2025-01-31
340570,78300,636422400000,76174,5834802300,8128000,2025-01-31
281820,30400,634191302400,158452,4865978000,20861556,2025-01-31
101490,29400,630672541800,143555,4308350300,21451447,2025-01-31
181710,18630,629062871490,74556,1395886710,33766123,2025-01-31
451800,3485,625906000000,142695,496267165,179600000,2025-01-31
041190,7400,621600000000,548963,4092962150,84000000,2025-01-31
030610,5440,619958507840,4887,26587810,113962961,2025-01-31
006380,3660,618539985360,0,0,168999996,2025-01-31
456040,68500,613245907500,19290,1323500700,8952495,2025-01-31
347850,58000,612948002000,433737,25255631000,10568069,2025-01-31
003380,5450,610430634450,55264,301735650,112005621,2025-01-31
000640,95900,608860756700,4498,429673500,6348913,2025-01-31
000400,1961,608569523520,94381,184270411,310336320,2025-01-31
078340,47400,603769587000,94483,4455503550,12737755,2025-01-31
348210,57600,602337600000,85343,5030796700,10457250,2025-01-31
100840,28900,597674628700,575908,16263279700,20680783,2025-01-31
089590,7380,595130469300,200203,1479725790,80640985,2025-01-31
032350,7810,595092189230,104320,817866190,76196183,2025-01-31
000500,60300,594460253700,188356,11371231300,9858379,2025-01-31
006650,91100,592150000000,14510,1338279600,6500000,2025-01-31
016380,5920,592052670240,109462,650727370,100008897,2025-01-31
251970,47450,588380000000,44932,2128653400,12400000,2025-01-31
023160,22200,588300000000,299357,6740640700,26500000,2025-01-31
079900,40100,585161054500,1012635,42530273950,14592545,2025-01-31
010780,19330,583514246080,22028,429948760,30186976,2025-01-31
030520,24050,581522843200,2862854,68511541750,24179744,2025-01-31
057050,48400,580800000000,50397,2403106200,12000000,2025-01-31
344820,35950,574139906400,16205,585586600,15970512,2025-01-31
131970,29650,573052606700,106836,3137628750,19327238,2025-01-31
271940,15780,573022138200,54036,860916010,36313190,2025-01-31
009900,10920,572973852360,133387,1463974380,52470133,2025-01-31
049770,29650,572115133000,20474,604800800,19295620,2025-01-31
00680K,4060,568400000000,217114,875365550,140000000,2025-01-31
082920,24850,568374493050,239464,6006718600,22872213,2025-01-31
017860,31500,553902678000,647600,20860924500,17584212,2025-01-31
319660,19100,553264237400,353289,6852769160,28966714,2025-01-31
222080,7150,553208648850,176734,1267291720,77371839,2025-01-31
108490,42350,553111539750,4438206,181512523050,13060485,2025-01-31
000155,138200,552311048400,50286,6966573100,3996462,2025-01-31
241710,51700,552156000000,35285,1845506300,10680000,2025-01-31
060370,16870,551123566980,229776,3873597710,32668854,2025-01-31
048410,13800,549538190400,186654,2603832760,39821608,2025-01-31
272290,27100,548169531800,219759,6022073150,20227658,2025-01-31
019170,10300,545745397000,86203,890169580,52984990,2025-01-31
000070,63700,545544062700,3191,203938900,8564271,2025-01-31
001060,23400,544890762000,73095,1728526350,23285930,2025-01-31
005880,1690,542844815500,667161,1128456021,321209950,2025-01-31
093370,5060,542711969800,231773,1160655300,107255330,2025-01-31
002350,5530,540103359810,108392,601321080,97667877,2025-01-31
036540,3270,537785190810,643933,2120369080,164460303,2025-01-31
003470,2675,533920840800,42879,115226720,199596576,2025-01-31
484870,58200,532756980000,77931,4527830900,9153900,2025-01-31
002030,251000,526995584000,1157,289270500,2099584,2025-01-31
105630,13150,526000000000,42088,556220920,40000000,2025-01-31
403550,16000,525390432000,2199,35228070,32836902,2025-01-31
399720,45250,524778730000,188288,8674289400,11597320,2025-01-31
090460,15210,524203204590,218525,3335989400,34464379,2025-01-31
272450,10020,523044000000,273051,2749478900,52200000,2025-01-31
025980,5900,522913920200,1356624,8073427570,88629478,2025-01-31
290650,23000,521752493000,92822,2131220700,22684891,2025-01-31
383800,6820,520234305800,59579,404701380,76280690,2025-01-31
077970,22550,518850785200,264031,6032173400,23008904,2025-01-31
009520,12390,515953090170,88269,1100488280,41642703,2025-01-31
178920,17500,513910635000,42879,754293670,29366322,2025-01-31
097230,6110,508805856910,1445468,8915395320,83274281,2025-01-31
075580,8900,505960158400,300616,2691186000,56849456,2025-01-31
358570,11380,504188612620,601819,6869097990,44304799,2025-01-31
377740,4890,499054074720,71855,346511570,102056048,2025-01-31
099190,18050,498924977650,78595,1444534570,27641273,2025-01-31
006110,33700,495791569200,18286,617125750,14711916,2025-01-31
099320,45200,494997765600,82667,3775138600,10951278,2025-01-31
192650,7180,494630494380,78801,565875130,68890041,2025-01-31
336570,5530,494053623070,423434,2338858390,89340619,2025-01-31
025320,5870,492011284320,311192,1841135380,83817936,2025-01-31
074600,18700,491585600000,408413,7744957570,26288000,2025-01-31
071320,42250,489201934000,14163,595479050,11578744,2025-01-31
050890,8000,488761848000,6516883,51819846580,61095231,2025-01-31
002240,18080,488160000000,13026,234713130,27000000,2025-01-31
166090,24600,486530780400,153121,3816076750,19777674,2025-01-31
348950,2455,484558080000,462348,1128775315,197376000,2025-01-31
080220,14060,484266231980,1580240,21945014580,34442833,2025-01-31
365340,39800,483490400000,57136,2311490600,12148000,2025-01-31
069080,13800,482322199200,37740,520423220,34950884,2025-01-31
003160,17020,481666000000,594247,10270936650,28300000,2025-01-31
335890,8200,479036825000,317145,2593989790,58419125,2025-01-31
005690,7980,478935372720,2371460,18792170530,60016964,2025-01-31
131290,43200,477853732800,53476,2311982800,11061429,2025-01-31
093050,16310,476904400000,68537,1109660820,29240000,2025-01-31
013890,21400,476247926400,174697,3772499850,22254576,2025-01-31
016800,41300,474950000000,1017,42045450,11500000,2025-01-31
000370,4065,474543689475,277419,1117316195,116738915,2025-01-31
453340,14000,474332796000,39414,548373480,33880914,2025-01-31
319400,4015,472730347870,970887,3870306485,117741058,2025-01-31
171090,49400,471128047000,78849,3914036100,9537005,2025-01-31
064550,18220,470263502020,84884,1553615810,25810291,2025-01-31
007700,11880,464678679960,4087,48202260,39114367,2025-01-31
145990,45050,464620877450,5854,264079350,10313449,2025-01-31
220100,20950,463040147250,661373,13739814550,22102155,2025-01-31
170900,50300,461400642500,16852,845109150,9172975,2025-01-31
101360,25850,459771046900,138413,3591298650,17786114,2025-01-31
017940,66500,456190000000,11092,730681700,6860000,2025-01-31
