ticker,entry_signal_date,comparison_class
007860,2013-03-08,SHARED_ENTRY
008060,2013-03-08,SHARED_ENTRY
008060,2014-09-05,FASTCORE_ONLY_REENTRY
008060,2016-03-04,FASTCORE_ONLY_REENTRY
008060,2017-03-17,FASTCORE_ONLY_REENTRY
008060,2019-01-25,SHARED_REENTRY
008490,2015-08-28,SHARED_ENTRY
008490,2016-06-03,FASTCORE_ONLY_REENTRY
008490,2019-06-07,FASTCORE_ONLY_REENTRY
008730,2016-04-08,SHARED_ENTRY
008730,2020-06-19,SHARED_REENTRY
008730,2022-08-12,SHARED_REENTRY
008730,2025-02-14,SHARED_REENTRY
008770,2014-01-24,SHARED_ENTRY
008770,2018-03-09,SHARED_REENTRY
008770,2019-05-03,SHARED_REENTRY
008770,2020-01-10,FASTCORE_ONLY_REENTRY
008770,2020-12-11,FASTCORE_ONLY_REENTRY
008770,2023-01-06,FASTCORE_ONLY_REENTRY
008770,2023-09-01,FASTCORE_ONLY_REENTRY
008770,2026-04-24,FASTCORE_ONLY_REENTRY
008930,2020-12-04,SHARED_ENTRY
009150,2015-04-03,SHARED_ENTRY
009150,2015-11-27,FASTCORE_ONLY_REENTRY
009150,2017-03-17,FASTCORE_ONLY_REENTRY
009150,2019-12-13,SHARED_REENTRY
009150,2020-11-27,FASTCORE_ONLY_REENTRY
009150,2025-08-08,SHARED_REENTRY
009160,2025-07-11,SHARED_ENTRY
009160,2025-12-19,FASTCORE_ONLY_REENTRY
009160,2026-04-24,FASTCORE_ONLY_REENTRY
009240,2013-03-22,SHARED_ENTRY
009240,2016-12-02,SHARED_REENTRY
009290,2018-02-02,SHARED_ENTRY
009290,2020-07-24,FASTCORE_ONLY_REENTRY
009290,2023-11-03,SHARED_REENTRY
009410,2013-03-22,SHARED_ENTRY
009410,2015-07-24,FASTCORE_ONLY_REENTRY
009410,2016-04-22,FASTCORE_ONLY_REENTRY
009410,2017-04-28,FASTCORE_ONLY_REENTRY
009410,2019-06-07,SHARED_REENTRY
009410,2020-05-22,FASTCORE_ONLY_REENTRY
009420,2023-05-12,SHARED_ENTRY
009450,2015-09-11,SHARED_ENTRY
009450,2019-03-08,SHARED_REENTRY
009450,2020-07-31,FASTCORE_ONLY_REENTRY
009450,2026-05-08,SHARED_REENTRY
009540,2013-11-08,SHARED_ENTRY
009540,2016-10-07,FASTCORE_ONLY_REENTRY
009580,2013-05-31,SHARED_ENTRY
009580,2015-07-10,FASTCORE_ONLY_REENTRY
009580,2018-01-26,FASTCORE_ONLY_REENTRY
009580,2021-02-26,SHARED_REENTRY
009580,2021-04-23,FASTCORE_ONLY_REENTRY
009580,2022-04-22,SHARED_REENTRY
009680,2019-01-18,SHARED_ENTRY
009680,2025-07-11,SHARED_REENTRY
009830,2015-05-22,SHARED_ENTRY
009830,2017-05-19,SHARED_REENTRY
009830,2019-02-22,FASTCORE_ONLY_REENTRY
009830,2022-06-10,SHARED_REENTRY
009830,2022-07-29,FASTCORE_ONLY_REENTRY
009830,2026-02-06,FASTCORE_ONLY_REENTRY
009970,2021-06-04,SHARED_ENTRY
009970,2025-03-14,SHARED_REENTRY
010060,2017-09-01,SHARED_ENTRY
010060,2021-01-08,SHARED_REENTRY
010120,2017-04-28,SHARED_ENTRY
010120,2021-08-06,SHARED_REENTRY
010120,2023-04-14,FASTCORE_ONLY_REENTRY
010130,2014-02-14,SHARED_ENTRY
010140,2013-07-26,SHARED_ENTRY
010140,2019-02-15,FASTCORE_ONLY_REENTRY
010140,2023-06-09,FASTCORE_ONLY_REENTRY
010140,2024-03-15,SHARED_REENTRY
010690,2013-03-29,SHARED_ENTRY
010780,2013-06-28,SHARED_ENTRY
010780,2022-04-01,SHARED_REENTRY
010780,2026-02-06,FASTCORE_ONLY_REENTRY
010950,2015-11-20,SHARED_ENTRY
010950,2017-03-17,SHARED_REENTRY
