window,layer,comparison,extreme_contrast,feature,feature_kind,level,feature_role,n_group_rows,n_reference_rows,group_n,reference_n,group_median,reference_median,group_share_pct,reference_share_pct,auc,effect,effect_unit,profile_allowed,broad_pooled_effect,broad_pooled_grade,same_sign_as_broad
P2-1,ELIGIBLE,WIN_100_vs_LOSS_50,True,fast_score_state,categorical,PARTIAL,ENTRY,11,0,11,0,,,9.0909,,,,share_pp,False,-4.1379,WEAK,
P2-1,ELIGIBLE,WIN_100_vs_LOSS_50,True,is_normal_handoff,numeric,,POST_ENTRY_LIFECYCLE,11,0,11,0,1.0,,,,,,AUC-0.5,False,,,
P2-1,ELIGIBLE,WIN_100_vs_LOSS_50,True,is_coverage_path,numeric,,POST_ENTRY_LIFECYCLE,11,0,11,0,0.0,,,,,,AUC-0.5,False,,,
P2-1,FILLED,WIN_50_vs_REST,False,pattern_a_score,numeric,,ENTRY,17,182,17,175,71.6144,61.9798,,,0.5382,0.0382,AUC-0.5,True,0.0132,WEAK,True
P2-1,FILLED,WIN_50_vs_REST,False,fast_score,numeric,,ENTRY,17,182,17,182,77.32,76.55,,,0.4759,-0.0241,AUC-0.5,True,0.0096,WEAK,False
P2-1,FILLED,WIN_50_vs_REST,False,market_cap_eok,numeric,,ENTRY,17,182,17,182,39698.3302,28670.6553,,,0.5462,0.0462,AUC-0.5,True,-0.0214,WEAK,False
P2-1,FILLED,WIN_50_vs_REST,False,avg_trading_value_20d_eok,numeric,,ENTRY,17,182,17,175,255.43,238.44,,,0.5059,0.0059,AUC-0.5,True,-0.0504,MIXED,False
P2-1,FILLED,WIN_50_vs_REST,False,wma52_slope_1w,numeric,,ENTRY,17,182,17,175,0.0021,0.0028,,,0.4686,-0.0314,AUC-0.5,True,-0.0311,WEAK,True
P2-1,FILLED,WIN_50_vs_REST,False,atr_14_pct,numeric,,ENTRY,17,182,17,175,0.0338,0.0365,,,0.4175,-0.0825,AUC-0.5,True,-0.0522,MIXED,True
P2-1,FILLED,WIN_50_vs_REST,False,range_position_24m,numeric,,ENTRY,17,182,17,175,0.5829,0.5866,,,0.4941,-0.0059,AUC-0.5,True,0.0033,WEAK,False
P2-1,FILLED,WIN_50_vs_REST,False,wma12_vs_wma26_pct,numeric,,ENTRY,17,182,17,175,0.0421,0.04,,,0.5039,0.0039,AUC-0.5,True,-0.0324,WEAK,False
