ticker,isu_cd,entry_signal_date,entry_execution_date,name,market,representative_window,observed_windows,n_windows_observed,same_cutoff_return_spread,trade_id,pair_id,trade_status,exit_type,terminal_return,enrichment_status
001790,KR7001790005,2020-12-04,2020-12-07,1790,KOSPI,P1,P1,1,0.0,001790_03,001790|KR7001790005|KOSPI|2010-01-04|2026-09-01|001790_03,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,36.53,READY
002310,KR7002310001,2020-12-04,2020-12-07,2310,KOSPI,P1,P1,1,0.0,002310_04,002310|KR7002310001|KOSPI|2010-01-04|2026-09-01|002310_04,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,38.06,READY
003300,KR7003300001,2020-12-04,2020-12-07,3300,KOSPI,P1,P1,1,0.0,003300_01,003300|KR7003300001|KOSPI|2010-01-04|2026-09-01|003300_01,OPEN_AT_CUTOFF,NO_EXIT_BEFORE_CUTOFF,68.34,READY
004410,KR7004410007,2020-12-04,2020-12-07,4410,KOSPI,P1,P1,1,0.0,004410_04,004410|KR7004410007|KOSPI|2010-01-04|2026-09-01|004410_04,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-16.53,READY
005940,KR7005940002,2020-12-04,2020-12-07,5940,KOSPI,P1,P1,1,0.0,005940_04,005940|KR7005940002|KOSPI|2010-01-04|2026-09-01|005940_04,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-15.13,READY
008260,KR7008260002,2020-12-04,2020-12-07,8260,KOSPI,P1,P1,1,0.0,008260_03,008260|KR7008260002|KOSPI|2010-01-04|2026-09-01|008260_03,REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,40.82,READY
008420,KR7008420002,2020-12-04,2020-12-07,8420,KOSPI,P1,P1,1,0.0,008420_02,008420|KR7008420002|KOSPI|2010-01-04|2026-09-01|008420_02,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,51.27,READY
008930,KR7008930000,2020-12-04,2020-12-07,8930,KOSPI,P1,P1,1,0.0,008930_01,008930|KR7008930000|KOSPI|2010-01-04|2026-09-01|008930_01,OPEN_AT_CUTOFF,NO_EXIT_BEFORE_CUTOFF,-37.6,READY
009310,KR7009310004,2020-12-04,2020-12-07,9310,KOSPI,P1,P1,1,0.0,009310_01,009310|KR7009310004|KOSPI|2010-01-04|2026-09-01|009310_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-15.48,READY
011210,KR7011210002,2020-12-04,2020-12-07,11210,KOSPI,P1,P1,1,0.0,011210_02,011210|KR7011210002|KOSPI|2011-02-21|2026-09-01|011210_02,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,65.69,READY
012800,KR7012800009,2020-12-04,2020-12-07,12800,KOSPI,P1,P1,1,0.0,012800_03,012800|KR7012800009|KOSPI|2010-01-04|2026-09-01|012800_03,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,82.33,READY
014280,KR7014280002,2020-12-04,2020-12-07,14280,KOSPI,P1,P1,1,0.0,014280_01,014280|KR7014280002|KOSPI|2010-01-04|2026-09-01|014280_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,72.3,READY
014790,KR7014790000,2020-12-04,2020-12-07,14790,KOSPI,P1,P1,1,0.0,014790_03,014790|KR7014790000|KOSPI|2010-01-04|2026-09-01|014790_03,OPEN_AT_CUTOFF,NO_EXIT_BEFORE_CUTOFF,-45.29,READY
014970,KR7014970008,2020-12-04,2020-12-07,14970,KOSDAQ,P1,P1,1,0.0,014970_02,014970|KR7014970008|KOSDAQ|2010-01-04|2026-09-01|014970_02,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-19.15,READY
016590,KR7016590002,2020-12-04,2020-12-07,16590,KOSPI,P1,P1,1,0.0,016590_02,016590|KR7016590002|KOSPI|2010-01-04|2026-09-01|016590_02,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,37.76,READY
