ticker,candidate_rank,rcept_no,report_nm,rcept_dt,event_match_score,selection_status,rejection_reason
028260,46,20150908000091,임원ㆍ주요주주특정증권등소유상황보고서,20150908,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,47,20150908000090,임원ㆍ주요주주특정증권등소유상황보고서,20150908,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,48,20150908000053,임원ㆍ주요주주특정증권등소유상황보고서,20150908,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,49,20150908000046,임원ㆍ주요주주특정증권등소유상황보고서,20150908,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,50,20150908000032,임원ㆍ주요주주특정증권등소유상황보고서,20150908,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,51,20150908000028,임원ㆍ주요주주특정증권등소유상황보고서,20150908,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,52,20150908000016,임원ㆍ주요주주특정증권등소유상황보고서,20150908,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,53,20150907000379,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,54,20150907000354,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,55,20150907000325,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,56,20150907000307,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,57,20150907000263,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,58,20150907000243,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,59,20150907000234,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,60,20150907000227,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,61,20150907000224,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,62,20150907000223,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,63,20150907000207,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,64,20150907000176,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,65,20150907000161,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,66,20150907000155,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,67,20150907000148,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,68,20150907000118,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,69,20150907000056,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,70,20150907000037,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,71,20150907000028,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,72,20150907000024,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,73,20150907000008,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,74,20150904000481,임원ㆍ주요주주특정증권등소유상황보고서,20150907,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,75,20150904000297,임원ㆍ주요주주특정증권등소유상황보고서,20150904,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,76,20150904000295,임원ㆍ주요주주특정증권등소유상황보고서,20150904,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,77,20150904000290,임원ㆍ주요주주특정증권등소유상황보고서,20150904,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,78,20150904000271,임원ㆍ주요주주특정증권등소유상황보고서,20150904,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,79,20150904000262,임원ㆍ주요주주특정증권등소유상황보고서,20150904,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,80,20150904000243,임원ㆍ주요주주특정증권등소유상황보고서,20150904,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,81,20150904000151,임원ㆍ주요주주특정증권등소유상황보고서,20150904,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,82,20150904000060,임원ㆍ주요주주특정증권등소유상황보고서,20150904,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,83,20150904000041,임원ㆍ주요주주특정증권등소유상황보고서,20150904,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,84,20150902000305,임원ㆍ주요주주특정증권등소유상황보고서,20150903,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,85,20150902800334,지배회사의주요종속회사탈퇴,20150902,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,86,20150902000259,증권발행실적보고서(합병등),20150902,100,SELECTED,
000100,1,20210118800399,투자판단관련주요경영사항,20210118,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
000100,2,20210107000215,임원ㆍ주요주주특정증권등소유상황보고서,20210107,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
000100,3,20201211000171,주요사항보고서(무상증자결정),20201211,100,SELECTED,
004020,1,20150724800445,[기재정정]영업실적등에대한전망(공정공시),20150724,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
004020,2,20150724800382,공정거래자율준수프로그램운영현황(안내공시),20150724,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
004020,3,20150724000247,약관에의한금융거래시계열금융회사의거래상대방의공시,20150724,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
004020,4,20150724000245,동일인등출자계열회사와의상품ㆍ용역거래,20150724,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
004020,5,20150724800332,[기재정정]신규시설투자등,20150724,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
004020,6,20150724800295,영업(잠정)실적(공정공시),20150724,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
004020,7,20150724800316,연결재무제표기준영업(잠정)실적(공정공시),20150724,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
004020,8,20150722800299,기업설명회(IR)개최(안내공시),20150722,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
004020,9,20150720000291,임원ㆍ주요주주특정증권등소유상황보고서,20150720,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
004020,10,20150714000172,임원ㆍ주요주주특정증권등소유상황보고서,20150714,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
004020,11,20150708000581,임원ㆍ주요주주특정증권등소유상황보고서,20150708,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
004020,12,20150708000402,임원ㆍ주요주주특정증권등소유상황보고서,20150708,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
004020,13,20150708000397,임원ㆍ주요주주특정증권등소유상황보고서,20150708,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
004020,14,20150708000392,임원ㆍ주요주주특정증권등소유상황보고서,20150708,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
004020,15,20150708000378,임원ㆍ주요주주특정증권등소유상황보고서,20150708,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
004020,16,20150708000364,임원ㆍ주요주주특정증권등소유상황보고서,20150708,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
