ticker,name,raw_market,market,close,volume,trading_value,market_cap,shares_outstanding,effective_date
046210,HLB파나진,KOSDAQ,KOSDAQ,2885,166196,484402845,118326910395,41014527,2024-06-28
204320,HL만도,KOSPI,KOSPI,43900,320794,14286211250,2061417568000,46957120,2024-06-28
060980,HL홀딩스,KOSPI,KOSPI,34000,14104,481050450,345759940000,10169410,2024-06-28
011200,HMM,KOSPI,KOSPI,19630,6239235,122583220970,13918445306480,709039496,2024-06-28
403870,HPSP,KOSDAQ GLOBAL,KOSDAQ,39150,456315,17926691500,3246871737600,82934144,2024-06-28
036640,HRS,KOSDAQ,KOSDAQ,5970,539318,3125260030,97638156000,16354800,2024-06-28
035000,HS애드,KOSPI,KOSPI,6270,17963,112443480,103877654430,16567409,2024-06-28
439730,IBKS제20호스팩,KOSDAQ,KOSDAQ,2515,2654,6662360,10839650000,4310000,2024-06-28
442770,IBKS제21호스팩,KOSDAQ,KOSDAQ,2445,323,792610,10293450000,4210000,2024-06-28
448760,IBKS제22호스팩,KOSDAQ,KOSDAQ,2345,1800,4160105,10388350000,4430000,2024-06-28
467930,IBKS제23호스팩,KOSDAQ,KOSDAQ,2220,45102,99247480,9390600000,4230000,2024-06-28
469480,IBKS제24호스팩,KOSDAQ,KOSDAQ,2195,7030,15396780,9284850000,4230000,2024-06-28
003560,IHQ,KOSPI,KOSPI,10760,0,0,59719334240,5550124,2024-06-28
095340,ISC,KOSDAQ,KOSDAQ,65500,307738,20222856900,1388407299000,21197058,2024-06-28
099520,ITX-AI,KOSDAQ,KOSDAQ,1284,0,0,58141862016,45281824,2024-06-28
175330,JB금융지주,KOSPI,KOSPI,14640,255782,3731862930,2856018018720,195083198,2024-06-28
950170,JTC,KOSDAQ,KOSDAQ,5430,34645,188498730,280982669640,51746348,2024-06-28
234080,JW생명과학,KOSPI,KOSPI,11930,16068,190525650,188906229220,15834554,2024-06-28
